Zone,Area,Crime_Type,Time,Date,Status
North Nagpur,Panchpaoli,Robbery,16:15,2025-06-11,Pending
East Nagpur,Hanuman Nagar,Assault,11:00,2025-05-29,Resolved
North Nagpur,Mankapur,Assault,05:30,2025-01-31,Pending
North Nagpur,Panchpaoli,Theft,03:45,2025-07-01,Pending
West Nagpur,Gittikhadan,Harassment,18:30,2025-06-19,Pending
South Nagpur,Ajni,Fraud,05:00,2025-06-03,Pending
North Nagpur,Indora,Robbery,05:30,2025-01-07,Resolved
North Nagpur,Jaripatka,,23:00,2025-04-27,Resolved
West Nagpur,Gittikhadan,Assault,17:15,2025-03-18,Pending
East Nagpur,Gandhibagh,Assault,15:45,2025-06-17,Pending
South Nagpur,Hudkeshwar,Assault,03:30,2025-05-05,Resolved
East Nagpur,Hanuman Nagar,Assault,08:15,2025-06-04,Pending
East Nagpur,Itwari,Robbery,20:15,2025-02-09,Pending
South Nagpur,Ajni,Assault,19:45,2025-03-06,Pending
West Nagpur,Gittikhadan,Harassment,00:15,2025-07-06,Pending
West Nagpur,Wadi,Theft,09:00,2025-05-15,Resolved
North Nagpur,Panchpaoli,Robbery,23:15,2025-05-02,Resolved
East Nagpur,Hanuman Nagar,Assault,01:45,2025-04-25,Pending
West Nagpur,Dharampeth,Assault,17:45,2025-01-28,Resolved
West Nagpur,Bharat Nagar,Assault,00:45,2025-06-21,Resolved
East Nagpur,Itwari,Fraud,08:15,2025-06-14,Resolved
South Nagpur,Sakkardara,Theft,08:15,2025-04-05,Resolved
South Nagpur,Sakkardara,Theft,20:15,2025-05-25,Resolved
South Nagpur,Mangalwari,,09:30,2025-05-22,Pending
North Nagpur,Panchpaoli,Theft,21:00,2025-04-18,Resolved
North Nagpur,Panchpaoli,Harassment,09:15,2025-06-25,Resolved
East Nagpur,Hanuman Nagar,Harassment,08:30,2025-05-17,Pending
South Nagpur,Mangalwari,Fraud,06:45,2025-03-27,Pending
East Nagpur,Lakadganj,Fraud,,2025-02-28,Pending
East Nagpur,Itwari,Harassment,00:15,2025-07-02,Pending
East Nagpur,Itwari,Chain Snatching,13:30,2025-02-16,Pending
North Nagpur,Mankapur,Theft,20:15,2025-02-19,Resolved
South Nagpur,Mangalwari,Theft,19:30,2025-04-23,Pending
South Nagpur,Ajni,Robbery,23:00,2025-04-26,Pending
East Nagpur,Itwari,Assault,07:15,,Pending
South Nagpur,Hudkeshwar,Harassment,21:00,2025-03-06,Pending
South Nagpur,Hudkeshwar,Harassment,20:45,2025-03-03,Pending
South Nagpur,Mangalwari,Chain Snatching,06:45,2025-03-11,Resolved
South Nagpur,Mangalwari,Robbery,08:30,2025-06-01,Pending
North Nagpur,Indora,Theft,15:45,2025-03-02,Resolved
West Nagpur,Gittikhadan,Assault,,2025-05-11,Resolved
South Nagpur,Mangalwari,,19:45,2025-05-26,Resolved
West Nagpur,Dharampeth,Robbery,06:15,2025-04-12,Resolved
North Nagpur,Mankapur,Theft,09:45,2025-04-08,Pending
West Nagpur,Gittikhadan,,15:30,2025-02-14,Resolved
South Nagpur,Mangalwari,Fraud,12:45,2025-06-18,Pending
West Nagpur,Bharat Nagar,Robbery,05:45,2025-01-07,Pending
North Nagpur,Panchpaoli,Assault,11:45,2025-05-02,Resolved
South Nagpur,Mangalwari,Robbery,22:45,2025-03-03,Resolved
South Nagpur,Mangalwari,Theft,12:45,2025-02-11,Resolved
East Nagpur,Hanuman Nagar,Theft,11:15,2025-06-10,Pending
North Nagpur,Jaripatka,Fraud,21:45,2025-06-14,Pending
West Nagpur,Wadi,Chain Snatching,21:15,2025-06-24,Pending
West Nagpur,Dharampeth,Chain Snatching,18:15,2025-04-06,Pending
South Nagpur,Ajni,Harassment,15:45,2025-06-30,Resolved
South Nagpur,Ajni,Fraud,22:45,2025-06-10,Resolved
South Nagpur,Hudkeshwar,Fraud,22:30,2025-05-26,Resolved
West Nagpur,Dharampeth,Harassment,15:30,2025-04-03,Resolved
East Nagpur,Lakadganj,Theft,05:45,,Resolved
South Nagpur,Sakkardara,Robbery,08:30,2025-07-03,Pending
East Nagpur,Itwari,Assault,03:45,2025-06-16,Pending
West Nagpur,Bharat Nagar,Chain Snatching,19:45,2025-04-12,Pending
North Nagpur,Jaripatka,Robbery,17:00,2025-03-27,Resolved
East Nagpur,Gandhibagh,Assault,21:00,2025-01-26,Resolved
East Nagpur,Lakadganj,Assault,11:00,2025-07-05,Resolved
South Nagpur,Sakkardara,Assault,20:45,2025-03-30,Pending
West Nagpur,Dharampeth,Harassment,16:15,2025-05-02,Resolved
West Nagpur,Dharampeth,Fraud,15:15,2025-01-07,Pending
South Nagpur,Ajni,Assault,00:30,2025-04-26,Resolved
West Nagpur,Bharat Nagar,Harassment,02:30,2025-06-21,Pending
East Nagpur,Hanuman Nagar,Fraud,00:45,2025-07-04,Resolved
South Nagpur,Hudkeshwar,Robbery,06:00,2025-03-08,Pending
South Nagpur,Sakkardara,Assault,12:15,2025-02-19,Pending
South Nagpur,Hudkeshwar,Harassment,16:00,2025-04-02,Resolved
East Nagpur,Hanuman Nagar,Fraud,20:00,2025-02-24,Resolved
South Nagpur,Sakkardara,Chain Snatching,06:45,2025-02-23,Pending
East Nagpur,Lakadganj,Chain Snatching,22:30,2025-05-28,Pending
South Nagpur,Mangalwari,Assault,04:15,2025-03-01,Resolved
South Nagpur,Sakkardara,Assault,07:30,2025-04-22,Pending
South Nagpur,Mangalwari,Assault,11:00,2025-04-29,Pending
South Nagpur,Hudkeshwar,Robbery,18:30,2025-03-18,Pending
East Nagpur,Hanuman Nagar,Chain Snatching,00:45,2025-02-15,Resolved
North Nagpur,Mankapur,Fraud,03:30,2025-02-28,Resolved
West Nagpur,Bharat Nagar,Fraud,07:00,2025-02-25,Pending
North Nagpur,Jaripatka,Chain Snatching,21:30,2025-03-01,Pending
North Nagpur,Indora,Theft,05:30,2025-02-28,Resolved
West Nagpur,Wadi,Chain Snatching,11:30,2025-03-14,Pending
North Nagpur,Jaripatka,Robbery,14:30,2025-06-30,Resolved
South Nagpur,Ajni,Theft,08:45,2025-06-01,Pending
East Nagpur,Gandhibagh,Assault,09:45,2025-04-11,Pending
West Nagpur,Wadi,Fraud,10:30,2025-04-21,Resolved
South Nagpur,Hudkeshwar,Chain Snatching,03:00,2025-06-21,Pending
North Nagpur,Indora,Assault,14:45,2025-02-15,Resolved
North Nagpur,Panchpaoli,Harassment,06:00,2025-05-25,Pending
West Nagpur,Wadi,Theft,08:30,2025-04-23,Pending
West Nagpur,Bharat Nagar,Theft,07:00,2025-02-08,Resolved
East Nagpur,Itwari,Chain Snatching,12:15,2025-04-18,Pending
East Nagpur,Gandhibagh,Assault,02:00,2025-01-27,Pending
West Nagpur,Dharampeth,Assault,19:00,2025-02-22,Pending
South Nagpur,Ajni,Harassment,04:00,2025-04-26,Pending
East Nagpur,Gandhibagh,Theft,00:15,2025-03-19,Resolved
West Nagpur,Gittikhadan,Assault,14:00,2025-03-02,Pending
South Nagpur,Mangalwari,Chain Snatching,01:00,2025-02-09,Pending
East Nagpur,Lakadganj,Harassment,21:30,,Pending
South Nagpur,Hudkeshwar,Chain Snatching,02:15,2025-02-28,Pending
South Nagpur,Ajni,Harassment,01:15,2025-06-18,Pending
East Nagpur,Gandhibagh,Assault,22:00,2025-01-21,Pending
West Nagpur,Gittikhadan,Harassment,09:30,2025-04-26,Resolved
West Nagpur,Wadi,Assault,00:15,2025-05-22,Pending
South Nagpur,Ajni,Robbery,07:15,2025-05-31,Pending
North Nagpur,Indora,Robbery,16:15,2025-02-24,Resolved
East Nagpur,Itwari,Fraud,13:15,2025-05-08,Resolved
East Nagpur,Itwari,Harassment,19:45,2025-07-02,Pending
North Nagpur,Indora,Robbery,18:30,2025-05-23,Resolved
East Nagpur,Gandhibagh,Fraud,09:00,2025-06-22,Pending
West Nagpur,Gittikhadan,Fraud,07:45,2025-04-17,Pending
North Nagpur,Indora,Theft,04:45,2025-04-26,Resolved
South Nagpur,Mangalwari,Chain Snatching,00:45,2025-01-07,Resolved
West Nagpur,Dharampeth,Theft,11:15,2025-02-22,Resolved
East Nagpur,Gandhibagh,Assault,17:45,2025-05-12,Resolved
West Nagpur,Gittikhadan,Fraud,07:45,2025-05-13,Resolved
East Nagpur,Lakadganj,Assault,07:15,,Resolved
West Nagpur,Dharampeth,Robbery,15:45,2025-04-04,Pending
North Nagpur,Mankapur,Harassment,17:00,2025-07-01,Pending
East Nagpur,Gandhibagh,Harassment,08:15,2025-05-18,Resolved
South Nagpur,Ajni,Chain Snatching,12:45,2025-03-27,Resolved
East Nagpur,Lakadganj,Harassment,23:30,2025-04-09,Pending
South Nagpur,Hudkeshwar,Robbery,05:30,2025-03-17,Resolved
North Nagpur,Mankapur,Theft,10:15,2025-02-12,Resolved
East Nagpur,Gandhibagh,Chain Snatching,23:00,2025-02-06,Resolved
West Nagpur,Wadi,Chain Snatching,10:45,2025-04-27,Pending
North Nagpur,Mankapur,Assault,12:00,2025-03-06,Pending
West Nagpur,Wadi,Harassment,09:45,2025-07-03,Resolved
North Nagpur,Indora,Robbery,09:45,2025-06-03,Pending
South Nagpur,Sakkardara,Fraud,17:45,2025-04-05,Resolved
South Nagpur,Mangalwari,Fraud,13:30,2025-06-25,Resolved
North Nagpur,Jaripatka,Theft,06:00,2025-02-13,Pending
East Nagpur,Gandhibagh,Fraud,23:45,2025-05-06,Resolved
South Nagpur,Sakkardara,Harassment,15:45,2025-01-13,Resolved
East Nagpur,Lakadganj,Robbery,03:45,2025-06-09,Resolved
East Nagpur,Gandhibagh,Fraud,18:15,2025-03-15,Resolved
East Nagpur,Hanuman Nagar,Robbery,,2025-06-24,Pending
North Nagpur,Panchpaoli,Assault,21:30,2025-06-19,Pending
North Nagpur,Mankapur,Fraud,01:45,2025-01-28,Resolved
West Nagpur,Gittikhadan,Harassment,00:00,2025-01-08,Resolved
West Nagpur,Gittikhadan,Fraud,05:30,2025-05-11,Pending
North Nagpur,Indora,Theft,18:15,2025-01-16,Pending
South Nagpur,Ajni,Robbery,04:45,2025-05-01,Resolved
North Nagpur,Panchpaoli,Harassment,23:30,2025-04-29,Pending
West Nagpur,Wadi,Harassment,20:45,2025-06-15,Resolved
South Nagpur,Ajni,Harassment,10:45,2025-01-19,Resolved
West Nagpur,Gittikhadan,Fraud,01:15,2025-02-21,Pending
South Nagpur,Ajni,Assault,18:00,2025-06-30,Resolved
South Nagpur,Hudkeshwar,Fraud,03:45,2025-04-15,Resolved
West Nagpur,Wadi,Fraud,11:15,2025-06-17,Resolved
North Nagpur,Mankapur,Assault,15:30,2025-01-25,Resolved
North Nagpur,Mankapur,Theft,01:00,2025-02-03,Pending
West Nagpur,Gittikhadan,Robbery,11:00,2025-05-24,Resolved
West Nagpur,Dharampeth,Chain Snatching,08:45,2025-05-30,Pending
North Nagpur,Mankapur,Chain Snatching,15:30,2025-05-04,Pending
East Nagpur,Hanuman Nagar,Fraud,07:00,2025-05-05,Resolved
North Nagpur,Mankapur,Theft,21:00,2025-02-23,Pending
North Nagpur,Indora,Assault,,2025-02-08,Resolved
South Nagpur,Sakkardara,Harassment,17:45,2025-04-21,Resolved
South Nagpur,Ajni,Fraud,08:15,2025-04-17,Resolved
West Nagpur,Wadi,Theft,22:15,2025-01-21,Pending
South Nagpur,Mangalwari,Fraud,,2025-06-22,Pending
West Nagpur,Wadi,Fraud,20:45,2025-02-09,Pending
South Nagpur,Sakkardara,Assault,10:15,2025-06-30,Pending
East Nagpur,Hanuman Nagar,Harassment,,2025-03-09,Pending
North Nagpur,Mankapur,Harassment,07:45,2025-04-04,Resolved
West Nagpur,Bharat Nagar,Fraud,,2025-04-19,Pending
East Nagpur,Itwari,Harassment,15:15,2025-03-07,Resolved
North Nagpur,Mankapur,Harassment,05:45,2025-04-23,Resolved
South Nagpur,Ajni,Assault,14:45,2025-05-25,Resolved
East Nagpur,Lakadganj,Assault,00:30,2025-03-24,Resolved
South Nagpur,Hudkeshwar,Theft,14:30,2025-04-11,Resolved
East Nagpur,Hanuman Nagar,Fraud,08:00,2025-05-16,Pending
East Nagpur,Gandhibagh,Theft,21:00,2025-01-21,Resolved
South Nagpur,Ajni,Chain Snatching,14:30,2025-03-25,Pending
West Nagpur,Bharat Nagar,Fraud,08:00,2025-04-02,Resolved
East Nagpur,Itwari,Harassment,08:00,2025-01-30,Resolved
North Nagpur,Indora,Robbery,11:30,2025-05-23,Pending
East Nagpur,Gandhibagh,Chain Snatching,08:45,2025-03-07,Pending
East Nagpur,Itwari,Fraud,17:30,2025-04-01,Resolved
North Nagpur,Indora,Assault,18:45,2025-06-02,Resolved
West Nagpur,Dharampeth,Assault,22:00,2025-03-07,Resolved
East Nagpur,Lakadganj,Robbery,05:45,2025-02-01,Resolved
North Nagpur,Jaripatka,Fraud,18:00,2025-06-15,Resolved
East Nagpur,Hanuman Nagar,Theft,13:00,2025-04-19,Resolved
North Nagpur,Jaripatka,Chain Snatching,17:00,2025-04-11,Pending
East Nagpur,Hanuman Nagar,Theft,08:15,2025-04-10,Resolved
West Nagpur,Dharampeth,Theft,15:45,2025-01-21,Resolved
East Nagpur,Gandhibagh,Assault,10:00,2025-03-15,Resolved
West Nagpur,Wadi,Fraud,13:45,2025-06-13,Resolved
South Nagpur,Ajni,Chain Snatching,18:00,2025-05-22,Pending
East Nagpur,Itwari,Chain Snatching,17:30,2025-06-01,Pending
West Nagpur,Bharat Nagar,Robbery,16:30,2025-06-09,Pending
East Nagpur,Gandhibagh,Robbery,10:15,2025-02-09,Pending
North Nagpur,Jaripatka,Robbery,21:00,2025-04-05,Resolved
West Nagpur,Gittikhadan,Theft,02:00,2025-02-22,Pending
West Nagpur,Wadi,Fraud,11:45,2025-02-23,Pending
East Nagpur,Itwari,Theft,10:00,2025-04-01,Resolved
North Nagpur,Mankapur,Theft,10:00,2025-01-29,Pending
East Nagpur,Lakadganj,Robbery,15:15,2025-02-07,Pending
East Nagpur,Itwari,Chain Snatching,08:15,2025-05-12,Resolved
South Nagpur,Ajni,Theft,08:45,2025-04-15,Resolved
South Nagpur,Mangalwari,Chain Snatching,11:15,2025-04-26,Resolved
East Nagpur,Lakadganj,Robbery,09:00,2025-02-27,Pending
North Nagpur,Panchpaoli,Theft,12:30,2025-06-14,Resolved
North Nagpur,Jaripatka,Robbery,00:00,2025-04-08,Pending
South Nagpur,Sakkardara,Assault,18:30,2025-01-13,Pending
East Nagpur,Itwari,Theft,20:45,2025-03-17,Resolved
East Nagpur,Hanuman Nagar,Fraud,04:45,2025-06-30,Pending
South Nagpur,Sakkardara,Chain Snatching,04:30,2025-03-07,Pending
East Nagpur,Lakadganj,Harassment,20:30,2025-04-26,Resolved
East Nagpur,Lakadganj,Assault,16:30,2025-04-08,Pending
West Nagpur,Bharat Nagar,Robbery,13:45,2025-01-07,Pending
East Nagpur,Hanuman Nagar,Assault,05:45,2025-04-20,Resolved
East Nagpur,Hanuman Nagar,Fraud,20:15,2025-02-17,Resolved
North Nagpur,Panchpaoli,Chain Snatching,17:15,2025-02-23,Resolved
West Nagpur,Gittikhadan,Harassment,04:30,2025-06-15,Resolved
South Nagpur,Ajni,Theft,08:45,2025-06-03,Resolved
West Nagpur,Wadi,Chain Snatching,05:15,2025-02-01,Pending
West Nagpur,Dharampeth,Robbery,19:30,2025-04-28,Pending
North Nagpur,Indora,Chain Snatching,01:45,,Pending
South Nagpur,Mangalwari,Assault,00:00,2025-05-28,Resolved
South Nagpur,Mangalwari,Fraud,07:30,2025-05-17,Resolved
South Nagpur,Hudkeshwar,Theft,10:30,2025-03-08,Resolved
West Nagpur,Bharat Nagar,Robbery,16:30,2025-02-08,Resolved
North Nagpur,Panchpaoli,Chain Snatching,01:30,2025-05-25,Pending
North Nagpur,Jaripatka,Chain Snatching,05:45,2025-04-19,Resolved
West Nagpur,Bharat Nagar,Chain Snatching,15:15,2025-04-29,Resolved
West Nagpur,Bharat Nagar,Chain Snatching,00:00,2025-02-22,Pending
South Nagpur,Sakkardara,Theft,23:45,2025-07-03,Pending
West Nagpur,Dharampeth,Assault,09:45,2025-01-08,Pending
West Nagpur,Dharampeth,Assault,00:30,2025-06-03,Resolved
North Nagpur,Panchpaoli,Fraud,13:00,2025-01-30,Pending
North Nagpur,Jaripatka,Robbery,05:15,2025-01-30,Resolved
East Nagpur,Hanuman Nagar,Harassment,20:15,2025-06-03,Pending
West Nagpur,Gittikhadan,Robbery,06:00,2025-02-28,Resolved
West Nagpur,Gittikhadan,Fraud,17:45,2025-04-30,Pending
West Nagpur,Gittikhadan,Theft,09:45,2025-03-16,Resolved
North Nagpur,Panchpaoli,Robbery,12:15,2025-01-19,Pending
East Nagpur,Hanuman Nagar,Theft,22:45,2025-04-05,Resolved
North Nagpur,Jaripatka,Fraud,,2025-01-06,Pending
South Nagpur,Mangalwari,Assault,23:45,2025-01-09,Resolved
North Nagpur,Panchpaoli,Harassment,,2025-02-17,Resolved
South Nagpur,Sakkardara,Robbery,16:15,2025-07-05,Pending
East Nagpur,Itwari,Fraud,20:00,2025-05-02,Resolved
South Nagpur,Hudkeshwar,Theft,15:30,2025-06-17,Resolved
North Nagpur,Panchpaoli,Harassment,14:00,2025-03-14,Resolved
North Nagpur,Panchpaoli,Robbery,03:30,2025-01-27,Resolved
East Nagpur,Gandhibagh,Chain Snatching,07:15,2025-03-21,Resolved
East Nagpur,Gandhibagh,Fraud,04:15,2025-02-16,Pending
East Nagpur,Hanuman Nagar,Assault,01:45,2025-02-25,Pending
South Nagpur,Mangalwari,Chain Snatching,08:45,2025-01-30,Resolved
East Nagpur,Lakadganj,Robbery,00:45,2025-02-23,Pending
South Nagpur,Mangalwari,Robbery,01:15,2025-04-03,Resolved
East Nagpur,Hanuman Nagar,Assault,13:00,2025-03-25,Pending
East Nagpur,Gandhibagh,Chain Snatching,15:45,2025-04-11,Resolved
South Nagpur,Hudkeshwar,Fraud,19:15,2025-05-16,Resolved
West Nagpur,Wadi,Chain Snatching,19:30,2025-05-02,Resolved
East Nagpur,Gandhibagh,Robbery,00:30,2025-06-04,Pending
East Nagpur,Hanuman Nagar,Fraud,00:30,2025-03-04,Resolved
East Nagpur,Gandhibagh,Harassment,17:00,2025-05-13,Resolved
North Nagpur,Indora,Theft,,2025-05-27,Resolved
West Nagpur,Dharampeth,Fraud,00:30,2025-02-12,Pending
South Nagpur,Ajni,Harassment,22:30,,Pending
West Nagpur,Dharampeth,Harassment,17:45,2025-03-09,Pending
East Nagpur,Itwari,Harassment,01:00,2025-01-28,Resolved
West Nagpur,Gittikhadan,Assault,03:00,2025-01-09,Pending
West Nagpur,Bharat Nagar,Theft,22:00,2025-02-23,Resolved
South Nagpur,Mangalwari,Harassment,08:30,2025-03-26,Pending
West Nagpur,Gittikhadan,,02:00,2025-06-28,Resolved
South Nagpur,Hudkeshwar,Harassment,06:00,2025-04-03,Pending
East Nagpur,Itwari,Theft,18:15,2025-02-27,Resolved
South Nagpur,Sakkardara,Robbery,11:00,,Pending
South Nagpur,Ajni,,05:00,2025-06-01,Pending
West Nagpur,Bharat Nagar,Assault,02:45,2025-02-15,Pending
West Nagpur,Wadi,Chain Snatching,12:45,2025-01-19,Pending
East Nagpur,Lakadganj,Harassment,10:45,2025-01-20,Pending
North Nagpur,Panchpaoli,Fraud,14:45,2025-05-04,Resolved
East Nagpur,Itwari,Fraud,01:45,2025-03-06,Pending
North Nagpur,Jaripatka,Fraud,04:00,2025-05-12,Pending
South Nagpur,Sakkardara,Assault,02:00,2025-04-29,Pending
East Nagpur,Itwari,Fraud,08:30,2025-05-16,Pending
North Nagpur,Panchpaoli,Fraud,17:45,2025-06-10,Resolved
West Nagpur,Wadi,Robbery,18:45,2025-03-07,Resolved
North Nagpur,Jaripatka,Assault,04:30,2025-03-06,Resolved
West Nagpur,Wadi,Chain Snatching,23:00,2025-02-13,Resolved
North Nagpur,Indora,Theft,07:00,2025-06-19,Pending
South Nagpur,Mangalwari,Robbery,03:00,2025-04-02,Pending
North Nagpur,Jaripatka,Assault,06:45,2025-06-27,Resolved
South Nagpur,Sakkardara,Chain Snatching,04:30,2025-01-15,Pending
South Nagpur,Hudkeshwar,Robbery,20:45,2025-06-11,Resolved
East Nagpur,Gandhibagh,Robbery,19:00,2025-04-18,Resolved
East Nagpur,Hanuman Nagar,Fraud,23:30,2025-06-19,Pending
West Nagpur,Dharampeth,Assault,12:00,2025-03-31,Pending
North Nagpur,Mankapur,Harassment,07:15,2025-02-13,Resolved
West Nagpur,Bharat Nagar,Fraud,13:00,2025-01-31,Resolved
West Nagpur,Dharampeth,Fraud,23:30,,Pending
East Nagpur,Hanuman Nagar,Assault,09:00,2025-02-07,Pending
West Nagpur,Gittikhadan,Assault,13:15,2025-05-24,Resolved
East Nagpur,Lakadganj,Robbery,08:15,2025-01-25,Resolved
West Nagpur,Bharat Nagar,Robbery,08:15,2025-06-27,Resolved
West Nagpur,Dharampeth,Harassment,14:15,2025-05-29,Resolved
North Nagpur,Mankapur,Robbery,10:00,,Resolved
South Nagpur,Ajni,Fraud,06:45,2025-03-11,Resolved
North Nagpur,Jaripatka,Theft,15:00,2025-03-28,Resolved
East Nagpur,Lakadganj,Harassment,06:00,2025-02-02,Pending
West Nagpur,Bharat Nagar,Fraud,20:00,2025-05-13,Pending
West Nagpur,Gittikhadan,Robbery,23:00,2025-06-01,Resolved
North Nagpur,Panchpaoli,Harassment,13:30,2025-02-15,Resolved
North Nagpur,Indora,Theft,07:30,2025-07-06,Pending
West Nagpur,Dharampeth,Assault,,2025-05-30,Resolved
West Nagpur,Bharat Nagar,Chain Snatching,04:45,2025-02-01,Pending
West Nagpur,Wadi,Robbery,00:00,2025-01-14,Pending
South Nagpur,Hudkeshwar,Fraud,06:15,2025-05-03,Pending
West Nagpur,Wadi,Chain Snatching,20:45,2025-06-01,Pending
East Nagpur,Gandhibagh,Chain Snatching,16:45,2025-03-23,Pending
West Nagpur,Bharat Nagar,Assault,,2025-05-11,Pending
East Nagpur,Lakadganj,Harassment,05:15,2025-06-06,Pending
North Nagpur,Jaripatka,Harassment,03:00,2025-03-03,Resolved
East Nagpur,Lakadganj,Harassment,05:45,2025-02-24,Resolved
West Nagpur,Bharat Nagar,Harassment,17:45,2025-04-04,Resolved
West Nagpur,Dharampeth,Harassment,14:30,2025-03-24,Pending
East Nagpur,Lakadganj,,19:15,2025-04-11,Pending
South Nagpur,Hudkeshwar,Fraud,16:00,2025-06-29,Pending
North Nagpur,Jaripatka,Harassment,21:15,2025-06-19,Resolved
South Nagpur,Hudkeshwar,Chain Snatching,00:00,2025-04-06,Pending
South Nagpur,Sakkardara,Harassment,15:45,2025-03-30,Resolved
North Nagpur,Indora,Harassment,03:45,2025-01-15,Pending
West Nagpur,Wadi,Assault,02:00,2025-01-30,Pending
West Nagpur,Bharat Nagar,Harassment,02:00,2025-01-21,Resolved
North Nagpur,Mankapur,Assault,17:30,2025-01-18,Resolved
South Nagpur,Hudkeshwar,Robbery,10:45,2025-02-28,Resolved
West Nagpur,Bharat Nagar,Theft,08:15,2025-03-24,Resolved
West Nagpur,Wadi,Harassment,20:00,2025-04-24,Resolved
West Nagpur,Bharat Nagar,Fraud,11:15,2025-06-20,Resolved
West Nagpur,Bharat Nagar,Robbery,10:45,2025-04-06,Resolved
East Nagpur,Itwari,Theft,12:45,2025-01-23,Pending
South Nagpur,Ajni,Assault,04:45,2025-04-20,Resolved
East Nagpur,Gandhibagh,Fraud,05:00,2025-03-30,Pending
West Nagpur,Bharat Nagar,Assault,08:30,2025-03-09,Pending
North Nagpur,Panchpaoli,Chain Snatching,09:45,2025-06-08,Resolved
East Nagpur,Gandhibagh,Harassment,10:30,2025-04-06,Pending
South Nagpur,Mangalwari,Chain Snatching,10:45,2025-01-21,Pending
West Nagpur,Wadi,Theft,21:00,2025-01-20,Pending
South Nagpur,Mangalwari,Robbery,14:45,2025-04-14,Resolved
South Nagpur,Sakkardara,Assault,04:15,2025-05-14,Pending
South Nagpur,Mangalwari,Fraud,03:15,2025-06-04,Resolved
West Nagpur,Wadi,Harassment,03:30,2025-06-09,Resolved
North Nagpur,Indora,Fraud,16:45,2025-04-07,Resolved
South Nagpur,Hudkeshwar,Assault,05:30,2025-02-27,Pending
North Nagpur,Mankapur,Assault,06:45,2025-03-08,Pending
South Nagpur,Sakkardara,Chain Snatching,02:00,2025-02-05,Resolved
East Nagpur,Lakadganj,Harassment,,2025-05-26,Pending
West Nagpur,Dharampeth,Assault,14:15,2025-06-27,Resolved
East Nagpur,Itwari,Fraud,15:15,2025-05-27,Resolved
East Nagpur,Hanuman Nagar,Harassment,03:00,2025-05-11,Pending
North Nagpur,Panchpaoli,Fraud,22:15,2025-04-07,Pending
South Nagpur,Ajni,Theft,23:00,2025-01-13,Resolved
West Nagpur,Dharampeth,Chain Snatching,10:45,2025-02-07,Pending
South Nagpur,Ajni,Chain Snatching,05:00,2025-06-23,Pending
North Nagpur,Panchpaoli,Robbery,15:30,2025-01-09,Resolved
West Nagpur,Wadi,Fraud,00:00,2025-05-30,Pending
South Nagpur,Hudkeshwar,Fraud,15:15,2025-06-10,Pending
East Nagpur,Hanuman Nagar,Assault,19:15,2025-06-14,Resolved
East Nagpur,Itwari,Harassment,09:30,2025-01-13,Pending
West Nagpur,Bharat Nagar,Theft,15:45,2025-01-11,Resolved
North Nagpur,Indora,Robbery,12:00,2025-03-01,Pending
South Nagpur,Hudkeshwar,Chain Snatching,10:00,2025-01-20,Pending
South Nagpur,Mangalwari,Harassment,21:30,2025-03-31,Pending
South Nagpur,Ajni,Robbery,05:45,2025-03-31,Pending
East Nagpur,Itwari,Harassment,03:15,2025-06-28,Pending
North Nagpur,Jaripatka,Harassment,02:30,2025-05-26,Pending
East Nagpur,Lakadganj,Robbery,05:30,2025-01-26,Resolved
West Nagpur,Bharat Nagar,Chain Snatching,,2025-06-09,Resolved
West Nagpur,Bharat Nagar,Fraud,,2025-01-11,Pending
South Nagpur,Sakkardara,Assault,12:15,2025-05-22,Resolved
East Nagpur,Lakadganj,Assault,15:15,2025-06-15,Resolved
West Nagpur,Gittikhadan,Fraud,13:45,2025-05-10,Resolved
East Nagpur,Lakadganj,Theft,05:15,2025-04-25,Pending
West Nagpur,Bharat Nagar,Chain Snatching,06:15,,Resolved
East Nagpur,Gandhibagh,Chain Snatching,22:00,2025-06-09,Pending
South Nagpur,Sakkardara,Harassment,00:30,2025-04-09,Pending
West Nagpur,Gittikhadan,Assault,15:15,2025-06-27,Resolved
North Nagpur,Panchpaoli,Fraud,22:15,2025-03-21,Resolved
West Nagpur,Gittikhadan,Chain Snatching,11:45,2025-05-29,Resolved
East Nagpur,Lakadganj,Theft,10:30,2025-06-11,Pending
East Nagpur,Hanuman Nagar,Harassment,05:15,,Pending
South Nagpur,Sakkardara,Theft,12:30,2025-04-30,Pending
North Nagpur,Jaripatka,Theft,10:15,2025-03-07,Resolved
North Nagpur,Mankapur,Harassment,05:00,2025-07-03,Resolved
South Nagpur,Ajni,Harassment,,2025-06-26,Pending
North Nagpur,Jaripatka,Fraud,23:15,2025-05-24,Resolved
South Nagpur,Sakkardara,Chain Snatching,16:30,2025-04-22,Resolved
West Nagpur,Gittikhadan,Harassment,15:00,2025-06-19,Resolved
North Nagpur,Jaripatka,Theft,04:00,2025-04-12,Pending
West Nagpur,Bharat Nagar,Chain Snatching,19:30,2025-01-30,Pending
North Nagpur,Mankapur,Fraud,15:00,2025-05-17,Pending
South Nagpur,Hudkeshwar,Assault,10:30,2025-04-04,Pending
East Nagpur,Gandhibagh,,22:45,2025-03-27,Pending
North Nagpur,Jaripatka,Assault,19:15,2025-07-02,Resolved
West Nagpur,Wadi,Harassment,00:00,2025-04-04,Pending
South Nagpur,Ajni,Chain Snatching,19:15,2025-07-05,Resolved
